Date,Open,High,Low,Close
1/1/2013,1426.19,1509.94,1426.19,1498.11
2/1/2013,1498.11,1530.94,1485.01,1514.68
3/1/2013,1514.68,1570.28,1501.48,1569.19
4/1/2013,1569.18,1597.57,1536.03,1597.57
5/1/2013,1597.55,1687.18,1581.28,1630.74
6/1/2013,1631.71,1654.19,1560.33,1606.28
7/1/2013,1609.78,1698.78,1604.57,1685.73
8/1/2013,1689.42,1709.67,1627.47,1632.97
9/1/2013,1635.95,1729.86,1633.41,1681.55
10/1/2013,1682.41,1775.22,1646.47,1756.54
11/1/2013,1758.70,1813.55,1746.20,1805.81
12/1/2013,1806.55,1849.44,1767.99,1848.36
1/1/2014,1845.86,1850.84,1770.45,1782.59
2/1/2014,1782.68,1867.92,1737.92,1859.45
3/1/2014,1857.68,1883.97,1834.44,1872.34
4/1/2014,1873.96,1897.28,1814.36,1883.95
5/1/2014,1884.39,1924.03,1859.79,1923.57
6/1/2014,1923.87,1968.17,1915.98,1960.23
7/1/2014,1962.29,1991.39,1930.67,1930.67
8/1/2014,1929.80,2005.04,1904.78,2003.37
9/1/2014,2004.07,2019.26,1964.04,1972.29
10/1/2014,1971.44,2018.19,1820.66,2018.05
11/1/2014,2018.21,2075.76,2001.01,2067.56
12/1/2014,2065.78,2093.55,1972.56,2058.90
1/1/2015,2058.90,2072.36,1988.12,1994.99
2/1/2015,1996.67,2119.59,1980.90,2104.50
3/1/2015,2105.23,2117.52,2039.69,2067.89
4/1/2015,2067.63,2125.92,2048.38,2085.51
5/1/2015,2087.38,2134.72,2067.93,2107.39
6/1/2015,2108.64,2129.87,2056.32,2063.11
7/1/2015,2067.00,2132.82,2044.02,2103.84
8/1/2015,2104.49,2112.66,1867.01,1972.18
9/1/2015,1970.09,2020.86,1871.91,1920.03
10/1/2015,1919.65,2094.32,1893.70,2079.36
11/1/2015,2080.76,2116.48,2019.39,2080.41
12/1/2015,2082.93,2104.27,1993.26,2043.94
1/1/2016,2038.20,2038.20,1812.29,1940.24
2/1/2016,1936.94,1962.96,1810.10,1932.23
3/1/2016,1937.09,2072.21,1937.09,2059.74
4/1/2016,2056.62,2111.05,2033.80,2065.30
5/1/2016,2067.17,2103.48,2025.91,2096.96
6/1/2016,2093.94,2120.55,1991.68,2098.86
7/1/2016,2099.34,2177.09,2074.02,2173.60
8/1/2016,2173.15,2193.81,2147.58,2170.95
9/1/2016,2171.33,2187.87,2119.12,2168.27
10/1/2016,2164.33,2169.60,2114.74,2126.15
11/1/2016,2128.68,2214.10,2083.79,2198.81
12/1/2016,2200.17,2277.53,2187.44,2238.83
1/1/2017,2251.57,2300.99,2245.13,2278.87
2/1/2017,2285.59,2371.54,2271.65,2363.64
3/1/2017,2380.13,2400.98,2322.25,2362.72
4/1/2017,2362.34,2398.16,2328.95,2384.20
5/1/2017,2388.50,2418.71,2352.72,2411.80
6/1/2017,2415.65,2453.82,2405.70,2423.41
7/1/2017,2431.39,2484.04,2407.70,2470.30
8/1/2017,2477.10,2490.87,2417.35,2471.65
9/1/2017,2474.42,2519.44,2446.55,2519.36
10/1/2017,2521.20,2582.98,2520.40,2575.26
11/1/2017,2583.21,2657.74,2557.45,2647.58
12/1/2017,2645.10,2694.97,2605.52,2673.61
1/1/2018,2683.73,2872.87,2682.36,2823.81
2/1/2018,2816.45,2835.96,2532.69,2713.83
3/1/2018,2715.22,2801.90,2585.89,2640.87
4/1/2018,2633.45,2717.49,2553.80,2648.05
5/1/2018,2643.64,2742.24,2594.62,2705.27
6/1/2018,2718.70,2791.47,2691.99,2718.37
7/1/2018,2704.95,2848.03,2698.95,2816.29
8/1/2018,2821.17,2916.50,2796.34,2901.52
9/1/2018,2896.96,2940.91,2864.12,2913.98
10/1/2018,2926.29,2939.86,2603.54,2711.74
11/1/2018,2717.58,2815.15,2631.09,2760.17
12/1/2018,2790.50,2800.18,2346.58,2506.85
1/1/2019,2476.96,2708.95,2443.96,2704.10
2/1/2019,2702.32,2813.49,2681.83,2784.49
3/1/2019,2798.22,2860.31,2722.27,2834.40
4/1/2019,2848.63,2949.52,2848.63,2945.83
5/1/2019,2952.33,2954.13,2750.52,2752.06
6/1/2019,2751.53,2964.15,2728.81,2941.76
7/1/2019,2971.41,3027.98,2952.22,2980.38
8/1/2019,2980.32,3013.59,2822.12,2926.46
9/1/2019,2909.01,3021.99,2891.85,2976.74
10/1/2019,2983.69,3050.10,2855.94,3037.56
11/1/2019,3050.72,3154.26,3050.72,3140.98
12/1/2019,3143.85,3247.93,3070.33,3230.78
1/1/2020,3244.67,3337.77,3214.64,3225.52
2/1/2020,3235.66,3393.52,2855.84,2954.22
3/1/2020,2974.28,3136.72,2191.86,2584.59
4/1/2020,2498.08,2954.86,2447.49,2912.43
5/1/2020,2869.09,3068.67,2766.64,3044.31
6/1/2020,3038.78,3233.13,2965.66,3100.29
7/1/2020,3105.92,3279.99,3101.17,3271.12
8/1/2020,3288.26,3514.77,3284.53,3500.31
9/1/2020,3507.44,3588.11,3209.45,3363.00
10/1/2020,3385.87,3549.85,3233.94,3269.96
11/1/2020,3296.20,3645.99,3279.74,3621.63
12/1/2020,3645.87,3760.20,3633.40,3756.07
1/1/2021,3764.61,3870.90,3662.71,3714.24
2/1/2021,3731.17,3950.43,3725.62,3811.15
3/1/2021,3842.51,3994.41,3723.34,3972.89
4/1/2021,3992.78,4218.78,3992.78,4181.17
5/1/2021,4191.98,4238.04,4056.88,4204.11
6/1/2021,4216.52,4302.43,4164.40,4297.50
7/1/2021,4300.73,4429.97,4233.13,4395.26
8/1/2021,4406.86,4537.36,4367.73,4522.68
9/1/2021,4528.80,4545.85,4305.91,4307.54
10/1/2021,4317.16,4608.08,4278.94,4605.38
11/1/2021,4610.62,4743.83,4560.00,4567.00
12/1/2021,4602.82,4808.93,4495.12,4766.18
1/1/2022,4778.14,4818.62,4222.62,4515.55
2/1/2022,4519.57,4595.31,4114.65,4373.94
3/1/2022,4363.14,4637.30,4157.87,4530.41
4/1/2022,4540.32,4593.45,4124.28,4131.93
5/1/2022,4130.61,4307.66,3810.32,4132.15
6/1/2022,4149.78,4177.51,3636.87,3785.38
7/1/2022,3781.08,4140.15,3721.56,4130.29
8/1/2022,4112.38,4325.28,3954.53,3955.00
9/1/2022,3936.73,4119.28,3584.13,3585.62
10/1/2022,3609.78,3905.42,3491.58,3871.98
11/1/2022,3901.79,4080.11,3698.15,4080.11
12/1/2022,4087.14,4100.96,3764.49,3839.50
1/1/2023,3853.29,3878.46,3794.33,3824.14
